name,description,tag,image,url,twitter,rating,thoughts,new
Rough Translation,"How are the things we're talking about being talked about somewhere else in the world? Gregory Warner tells stories that follow familiar conversations into unfamiliar territory. At a time when the world seems small but it's as hard as ever to escape our echo chambers, Rough Translation takes you places.",#global,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/89/24/eb/8924eb27-7fee-0ede-39a4-d06058af14d5/source/500x500bb.jpg,https://www.npr.org/podcasts/510324/rough-translation,Roughly,5,Fascinating stories I haven't heard from other sources. Great global perspective in how the whole world is grappling with similar issues.,TRUE
Serial,"Serial is a podcast from the creators of This American Life, hosted by Sarah Koenig. Serial unfolds one story - a true story - over the course of a whole season. The show follows the plot and characters wherever they lead, through many surprising twists and turns. Sarah won't know what happens at the end of the story until she gets there, not long before you get there with her. Each week she'll bring you the latest chapter, so it's important to listen in, starting with Episode 1.",#crime,http://is4.mzstatic.com/image/thumb/Music71/v4/61/59/94/615994ff-21b5-9817-3e89-09b7e012336d/source/500x500bb.jpg,https://serialpodcast.org,,5,Fav,FALSE
StartUp Podcast,A series about what it's really like to start a business.,"#fav, #business, #entreprenuership",http://is5.mzstatic.com/image/thumb/Music71/v4/02/a1/a1/02a1a1d9-01c0-ec58-af8f-f230f5f1e181/source/500x500bb.jpg,http://gimletmedia.com,,5,Fav,FALSE
The Accidental Creative,"The Accidental Creative podcast shares how to build practical, everyday practices that help you stay prolific, brilliant and healthy in life and work. Host Todd Henry (author of the books The Accidental Creative, Die Empty, and Louder Than Words) interviews artists, authors and business leaders, and offers tips for how to thrive in life and work.","#design, #interview",http://is4.mzstatic.com/image/thumb/Music62/v4/5e/22/c7/5e22c780-5a1c-a2e0-742c-8a5ce06d9418/source/500x500bb.jpg,http://www.accidentalcreative.com/category/podcasts/,beAccidental,5,"Fantastic topics, thoughtfully explored. One of my new top design podcasts.",TRUE
The Dropout,"The story of Elizabeth Holmes and Theranos is an unbelievable tale of ambition and fame gone terribly wrong. You'll hear exclusive interviews with former employees, investors, and patients, and for the first-time, the never-before-aired deposition testimony of Elizabeth Holmes, and those at the center of this story.","#business, #crime",https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/d5/1b/b6/d51bb6a2-4f11-a94c-bf04-83720b654441/source/500x500bb.jpg,http://abcradio.com/podcasts/the-dropout/,abcradio,5,The hype is warranted. An excellently told and incredibly shocking expose that goes to show how powerful a vision (even if it's a lie) can be.,TRUE
The Memory Palace,"Short, surprising stories of the past, sometimes heartbreaking, sometimes hysterical, often a little bit of both.",#history,http://is1.mzstatic.com/image/thumb/Music62/v4/e0/74/e8/e074e898-c5d3-04b1-5875-2ea8a8946faf/source/500x500bb.jpg,http://thememorypalace.us/,thememorypalace,5,What fun little stories. The host tells them so well; so far I haven't been able to be half as interesting as I've tried to retell them to friends and family.,TRUE
The Weirdest Thing I Learned This Week,"At Popular Science, we report and write dozens of science and tech stories every week. And while a lot of the fun facts we stumble across make it into our articles, there are lots of other weird facts that we just keep around the office. So we figured, why not share those with you? Welcome to The Weirdest Thing I Learned This Week.",#science,https://is3-ssl.mzstatic.com/image/thumb/Podcasts113/v4/10/1f/de/101fdee6-5b12-ebbf-fa4b-19179874165f/mza_3814693268914341285.jpg/500x0w.jpg,https://www.popsci.com/tags/weirdest-thing-i-learned-this-week,Weirdest_Thing ‏,5,"Funny and wonderfully interesting. If you like chasing your curiosity down a Wikipedia link trail, you'll love this. ",TRUE
Throughline,The past is never past. Every headline has a history. Join us every week as we go back in time to understand the present. These are stories you can feel and sounds you can see from the moments that shaped our world.,#history,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/32/2f/0c/322f0ca4-ce93-a114-cade-45e5bdb8f680/source/500x500bb.jpg,npr.org/podcasts/510333/throughline,NPR,5,"This is the kind of journalism I love. The producers do an amazing job summarizing rich, complex historical context around current events.",TRUE
Tribe of Mentors,"Tribe of Mentors is a short-form podcast series from Tim Ferriss, one of Fast Company’s “Most Innovative Business People” and an early-stage tech investor/advisor in Uber, Facebook, Twitter, Shopify, Duolingo, Alibaba, and 50+ other companies. The show highlights short life advice from the best in the world.","#leadership, #interview",https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/a5/a6/fe/a5a6fe1f-f8a0-8be4-2355-aad5d006a2b7/source/500x500bb.jpg,https://tim.blog/category/tribe-of-mentors/,tferriss,5,The questions asked are just as insightful as the answers. I ordered the book after two episodes and I can't decide which is better! So full of applicable wisdom!,TRUE
Two Guys on Your Head,"Each week Dr. Art Markman and Dr. Bob Duke explore different aspects of human behavior and the brain. In conversations hosted by producer Rebecca McInroy, the two renowned psychologists cover everything from the effects of sugar on the brain, to what's happening in our minds while we sleep, and much, much more.",#psychology,https://is3-ssl.mzstatic.com/image/thumb/Podcasts123/v4/de/46/2f/de462ff8-a06b-65f9-795d-d249389760be/mza_873790952502625808.png/500x500w.jpg,https://www.kut.org/term/two-guys-your-head,2GoYH,5,"Short, always fascinating and instantly applicable. ",TRUE
Uncivil,"America is divided, and it always has been. We're going back to the moment when that split turned into war. This is Uncivil: Gimlet Media's new history podcast, hosted by journalists Jack Hitt and Chenjerai Kumanyika. We ransack the official version of the Civil War, and take on the history you grew up with. We bring you untold stories about covert operations, corruption, resistance, mutiny, counterfeiting, antebellum drones, and so much more. And we connect these forgotten struggles to the political battlefield we’re living on right now.",#history,https://is3-ssl.mzstatic.com/image/thumb/Podcasts113/v4/de/fd/7b/defd7b93-364a-f7d2-5a1f-1439c6deb37f/mza_6906322763749552374.png/500x0w.jpg,https://gimletmedia.com/shows/uncivil,uncivilshow,5,This needs to be included in every American history class. Fascinating stories that I'd never heard before.,TRUE
Undiscovered,"A podcast about the left turns, missteps, and lucky breaks that make science happen.",#science,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/e8/8a/f7/e88af700-1bbd-036b-bf6e-adeb0a5bf5c8/source/500x500bb.jpg,https://www.wnycstudios.org/podcasts/undiscovered,WNYCStudios,5,Fascinating stories told very well. If you like RadioLab you should check this one out.,TRUE
What Trump Can Teach Us About Con Law,"Professor Elizabeth Joh teaches Intro to Constitutional Law and most of the time this is a pretty straight forward job. But with Trump in office, everything has changed. Five minutes before class Professor Joh checks Twitter to find out what the 45th President has said and how it jibes with 200 years of the judicial branch interpreting and ruling on the Constitution. Hosted by acclaimed podcaster Roman Mars (99% Invisible, co-founder Radiotopia), this show is a weekly, fun, casual Con Law 101 class that uses the tumultuous and erratic activities of the executive branch under Trump to teach us all about the US Constitution. Proud member of Radiotopia from PRX.",#law,https://is1-ssl.mzstatic.com/image/thumb/Podcasts123/v4/96/a6/31/96a631af-4822-6a1e-ec45-22e44a56485d/mza_2452300185390127267.png/500x500w.jpg,https://trumpconlaw.com/,TrumpConLaw,5,"Heads up that ""Con"" here is the legal shorthand for Constitution. While the title comes across as left leaning, it's a pretty neutral examination of the judicial implications of all the latest unprecedented scenarios.",TRUE
Without Fail,"Candid conversations with entrepreneurs, artists, athletes, visionaries of all kinds—about their successes, and their failures, and what they learned from both. Hosted by Alex Blumberg, from Gimlet Media.",,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/e7/f8/5c/e7f85cb3-dfc1-e65c-2a87-627d32361289/source/500x500bb.jpg,,,5,Fav,FALSE
Women at Work,"HBR editors Amy Bernstein, Sarah Green Carmichael, and Nicole Torres are untangling some of the knottiest problems in gender discrimination. They interview experts on gender, tell stories about their own experiences, and give lots of practical advice to help you succeed in spite of the obstacles.",#women,https://is1-ssl.mzstatic.com/image/thumb/Music62/v4/96/04/d9/9604d91b-e134-1b3b-b58c-a9dd65ec2e8f/source/500x500bb.jpg,https://hbr.org/2018/01/podcast-women-at-work,HarvardBiz,5,"Thoughtful, well researched advice of the quality you expect from HBR. The topics are relevant to anyone who manages, works with or happens to be a woman (which I hope it's almost everyone).",TRUE
