name,image,tag,description,url,rating,thoughts,date
Not Craft,notcraft.jpg,"#design, #interview",Not Craft is a design podcast about all the soft skills you need to be successful in your design career—from the people that have learned them first hand.,https://notcraftpodcast.simplecast.fm/,3,"Great guests with intriguing perspectives. Nice succinct 2 tips and a warning format. Interview style is a bit rough, but there are only 4 episodes so far.",
Dark Tank,darktank.jpg,"#race, #comedy","Dark Tank is a podcast where white people try their best. In each episode of Dark Tank, Yedoye Travis asks a melanin deficient guest to undo the mistakes of the past by pitching solutions to pressing minority issues--to a panel of people of color. We're solving racism, one white ego at a time.",http://darktank.libsyn.com/website,3,"Fun way to discuss tricky topics. Doesn't get super deep, but is a great way to get multiple perspectives on some tough issues.",
100 PM,100PM.jpg,"#productmanagement, #interviews",Welcome to 100 PM – the show where we interview one hundred active product managers – from startups to enterprise and everything in between all from one great city every season.,https://100productmanagers.com/interviews,,,
99% Invisible,99invisible.jpg,#design,"Design is everywhere in our lives, perhaps most importantly in the places where we've just stopped noticing. 99% Invisible is a weekly exploration of the process and power of design and architecture.",https://99percentinvisible.org/episodes/,,,
The Biz Chix Podcast: Female Entrepreneurs,bizchix.jpg,"#business, #entrepreneur, #women","Host Natalie Eckdahl, MBA is a coach to high performing women. She is married with three children ages 4-16. Natalie helps women entrepreneurs own their role as CEO through her business trainings, on air coaching calls and expert interviews.",,,,
Embedded,embeddedfm.jpg,#tech,"Embedded is the show for people who love gadgets. Making them, breaking them, and everything in between. Weekly interviews with engineers, educators, and enthusiasts. Find the show, blog, and more at embedded.fm.",https://www.embedded.fm/,,,
